States GREATER than Federal MW,Minimum Wage (USD),
AK,$11.91 ,
AR,$11.00 ,
AZ,$14.70 ,
CA,$16.50 ,
CO,$14.80 ,
CT,$16.35 ,
DC,$17.50 ,
DE,$15.00 ,
FL,$13.00 ,
HI,$14.00 ,
IL,$15.00 ,
MA,$15.00 ,
MD,$15.00 ,
ME,$14.65 ,
MI,$10.56 ,
MN,$11.13 ,
MO,$13.75 ,
MT,$10.55 ,
NE,$13.50 ,
NJ,$15.49 ,
NM,$12.00 ,
NV,$12.00 ,
NY,$16.50 ,
OH,$10.70 ,
OR,$15.95 ,
PR,$10.50 ,
RI,$15.00 ,
SD,$11.50 ,
VA,$12.41 ,
VT,$14.01 ,
WA,$16.66 ,
WV,$8.75 ,
VI,$10.50 ,
GU,$9.25 ,
States EQUAL to Federal MW,,
CNMI,$7.25 ,
IA,$7.25 ,
ID,$7.25 ,
IN,$7.25 ,
KS,$7.25 ,
KY,$7.25 ,
NC,$7.25 ,
ND,$7.25 ,
NH,$7.25 ,
OK,$7.25 ,
PA,$7.25 ,
TX,$7.25 ,
UT,$7.25 ,
WI,$7.25 ,
States with NO MW or LOWER than Federal MW ($7.25),,
AL,,
GA,,
LA,,
MS,,
SC,,
TN,,
WY,,
AS,,
